Sample	R1	R2	plate	location	name	group	genotype	sex
MB013-C2	/mnt/data/sbusi/vip/data/fastq/MB013_C2_S26_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB013_C2_S26_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C2	MB013	VIP	HET	Male
MB014-B02	/mnt/data/sbusi/vip/data/fastq/MB014_B02_S14_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB014_B02_S14_R2_001.fastq.gz	180817_MB	B02	MB014	WT	WT	Female
MB014-C3	/mnt/data/sbusi/vip/data/fastq/MB014_C3_S27_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB014_C3_S27_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C3	MB014	VIP	HET	Male
MB015-B03	/mnt/data/sbusi/vip/data/fastq/MB015_B03_S15_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB015_B03_S15_R2_001.fastq.gz	180817_MB	B03	MB015	WT	WT	Female
MB015-C4	/mnt/data/sbusi/vip/data/fastq/MB015_C4_S28_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB015_C4_S28_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C4	MB015	VIP	HET	Male
MB016-B04	/mnt/data/sbusi/vip/data/fastq/MB016_B04_S16_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB016_B04_S16_R2_001.fastq.gz	180817_MB	B04	MB016	WT	WT	Female
MB016-C5	/mnt/data/sbusi/vip/data/fastq/MB016_C5_S29_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB016_C5_S29_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C5	MB016	VIP	HET	Male
MB017-B05	/mnt/data/sbusi/vip/data/fastq/MB017_B05_S17_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB017_B05_S17_R2_001.fastq.gz	180817_MB	B05	MB017	VPAC1	WT	Male
MB017-C6	/mnt/data/sbusi/vip/data/fastq/MB017_C6_S30_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB017_C6_S30_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C6	MB017	VIP	KO	Male
MB018-B06	/mnt/data/sbusi/vip/data/fastq/MB018_B06_S18_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB018_B06_S18_R2_001.fastq.gz	180817_MB	B06	MB018	VPAC1	WT	Male
MB018-C7	/mnt/data/sbusi/vip/data/fastq/MB018_C7_S31_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB018_C7_S31_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	C7	MB018	VIP	KO	Male
