sample-id	plate	location	name	group	genotype	sex
MB037-D01	180817_MB	D01	MB037	VPAC1	KO	Male
MB038-D02	180817_MB	D02	MB038	VPAC1	KO	Male
MB039-D03	180817_MB	D03	MB039	VPAC1	KO	Male
MB040-D04	180817_MB	D04	MB040	VPAC1	KO	Male
MB041-D05	180817_MB	D05	MB041	VPAC1	WT	Female
MB042-D06	180817_MB	D06	MB042	VPAC1	WT	Female
MB043-D07	180817_MB	D07	MB043	VPAC1	WT	Female
MB044-D08	180817_MB	D08	MB044	VPAC1	WT	Female
MB045-D09	180817_MB	D09	MB045	VPAC1	WT	Female
MB046-D10	180817_MB	D10	MB046	VPAC1	WT	Female
MB047-D11	180817_MB	D11	MB047	VPAC1	WT	Female
MB048-D12	180817_MB	D12	MB048	VPAC1	WT	Female
MB049-E01	180817_MB	E01	MB049	VPAC1	HET	Female
MB050-E02	180817_MB	E02	MB050	VPAC1	HET	Female
MB051-E03	180817_MB	E03	MB051	VPAC1	HET	Female
MB052-E04	180817_MB	E04	MB052	VPAC1	HET	Female
MB053-E05	180817_MB	E05	MB053	VPAC1	HET	Female
MB054-E06	180817_MB	E06	MB054	VPAC1	HET	Female
MB055-E07	180817_MB	E07	MB055	VPAC1	HET	Female
MB056-E08	180817_MB	E08	MB056	VPAC1	HET	Female
MB057-E09	180817_MB	E09	MB057	VPAC1	KO	Female
MB058-E10	180817_MB	E10	MB058	VPAC1	KO	Female
MB059-E11	180817_MB	E11	MB059	VPAC1	KO	Female
MB060-E12	180817_MB	E12	MB060	VPAC1	KO	Female
MB061-F01	180817_MB	F01	MB061	VPAC1	KO	Female
MB062-F02	180817_MB	F02	MB062	VPAC1	KO	Female
MB063-F03	180817_MB	F03	MB063	VPAC1	KO	Female
MB064-F04	180817_MB	F04	MB064	VPAC1	KO	Female
MB065-F05	180817_MB	F05	MB065	VPAC2	WT	Male
MB066-F06	180817_MB	F06	MB066	VPAC2	WT	Male
MB067-F07	180817_MB	F07	MB067	VPAC2	WT	Male
MB068-F08	180817_MB	F08	MB068	VPAC2	WT	Male
MB069-F09	180817_MB	F09	MB069	VPAC2	WT	Male
MB070-F10	180817_MB	F10	MB070	VPAC2	WT	Male
MB071-F11	180817_MB	F11	MB071	VPAC2	WT	Male
MB072-F12	180817_MB	F12	MB072	VPAC2	WT	Male
MB073-G01	180817_MB	G01	MB073	VPAC2	HET	Male
MB074-G02	180817_MB	G02	MB074	VPAC2	HET	Male
MB075-G03	180817_MB	G03	MB075	VPAC2	HET	Male
MB076-G04	180817_MB	G04	MB076	VPAC2	HET	Male
MB077-G05	180817_MB	G05	MB077	VPAC2	HET	Male
MB078-G06	180817_MB	G06	MB078	VPAC2	HET	Male
MB079-G07	180817_MB	G07	MB079	VPAC2	HET	Male
MB080-G08	180817_MB	G08	MB080	VPAC2	HET	Male
MB081-G09	180817_MB	G09	MB081	VPAC2	KO	Male
MB082-G10	180817_MB	G10	MB082	VPAC2	KO	Male
MB083-G11	180817_MB	G11	MB083	VPAC2	KO	Male
MB084-G12	180817_MB	G12	MB084	VPAC2	KO	Male
MB085-H01	180817_MB	H01	MB085	VPAC2	KO	Male
MB086-H02	180817_MB	H02	MB086	VPAC2	KO	Male
MB087-H03	180817_MB	H03	MB087	VPAC2	KO	Male
MB088-H04	180817_MB	H04	MB088	VPAC2	KO	Male
MB089-H05	180817_MB	H05	MB089	VPAC2	WT	Female
MB090-H06	180817_MB	H06	MB090	VPAC2	WT	Female
MB091-H07	180817_MB	H07	MB091	VPAC2	WT	Female
MB092-H08	180817_MB	H08	MB092	VPAC2	WT	Female
MB093-H09	180817_MB	H09	MB093	VPAC2	WT	Female
MB097-H10	180817_MB	H10	MB097	VPAC2	HET	Female
MB098-H11	180817_MB	H11	MB098	VPAC2	HET	Female
